iter	MAE	RMSE
0	26.42421365	38.92486371
1	19.17830773	28.83850005
2	16.42140405	23.92714104
3	15.29454259	22.21977286
4	13.82054732	19.35355757
5	12.45639213	16.53733591
6	9.660545699	12.6967642
7	7.917298297	10.34795929
8	7.141789242	9.143538106
9	6.262558576	7.965144262
10	4.957548902	6.354043743
11	3.957915107	5.067060202
12	3.185154924	4.072986263
13	2.574285759	3.286407326
14	2.084114861	2.653609829
15	1.709437441	2.159363286
16	1.463477866	1.86720506
17	1.177103189	1.498294885
18	1.013528533	1.27819006
19	0.9024526687	1.149645412
20	0.7325482441	0.9261713517
21	0.5979565997	0.7486804284
22	0.4861238004	0.6071032371
23	0.3946082791	0.490519867
24	0.3419065712	0.4305107553
25	0.2748024089	0.3459312171
26	0.2206045121	0.2775909829
27	0.1770479916	0.222295471
28	0.1606921789	0.2045528138
29	0.1303155912	0.1650466773
30	0.1283310196	0.1623914944
31	0.1105174107	0.1375761251
32	0.1062475041	0.1337879722
33	0.1051320967	0.1323114062
34	0.08554208966	0.1068102435
35	0.07156343105	0.08891641702
36	0.06657305415	0.08501740997
37	0.06477301713	0.08271539155
38	0.05281801937	0.06710669358
39	0.04302577111	0.0542986552
40	0.03663908822	0.04558469544
41	0.03022338663	0.03742185186
42	0.02994132194	0.0371520977
43	0.0247867446	0.03042124057
44	0.02002622925	0.02457841477
45	0.01830391845	0.02285341438
46	0.01810063999	0.02269108805
47	0.01534456084	0.01902692495
48	0.01266976139	0.01565690691
49	0.01258080787	0.01557232936
50	0.01096773241	0.01373351689
51	0.01082988408	0.01361873879
52	0.009115577941	0.01142037067
53	0.008446559074	0.01082180535
54	0.00734769526	0.009426465616
55	0.006639479225	0.008661214642
56	0.005680969744	0.007358631515
57	0.005528310366	0.007219708874
58	0.00449636628	0.005896117451
59	0.004159662685	0.005558559926
60	0.003432815872	0.004542370644
61	0.003156757358	0.00418047444
62	0.002558121424	0.003348381715
63	0.002136926712	0.00278089553
64	0.002075886568	0.002716892402
65	0.001712890725	0.002232803735
66	0.001648252255	0.002185076294
67	0.001573893931	0.002075316785
68	0.001410259675	0.001842195673
69	0.001195873068	0.001573018648
70	0.0009874569149	0.001298785887
71	0.0009707051005	0.001285815048
72	0.0008287531013	0.001108585395
73	0.0007454687637	0.001004064246
74	0.0007186629723	0.000985590048
75	0.0006856223212	0.0009309022809
76	0.0006495552432	0.0008910947788
77	0.0005487254289	0.000747517718
78	0.0004472960474	0.0006040160245
79	0.0003999381393	0.0005449802367
80	0.0003236961855	0.00044214903
81	0.0003192346128	0.0004366322326
82	0.0003109127134	0.0004284042666
83	0.0002554524099	0.0003499378661
84	0.0002116280093	0.0002915646101
85	0.0002079066661	0.0002871217595
86	0.0002026089279	0.0002833070439
87	0.0001659222982	0.0002296461976
88	0.0001359918544	0.0001866003747
89	0.0001297374904	0.0001796004652
90	0.0001061261741	0.0001458392994
91	9.119528101e-05	0.000124444813
92	8.031883219e-05	0.0001110867739
93	7.577789945e-05	0.0001060998696
94	6.152323518e-05	8.626689244e-05
95	5.616671058e-05	7.899669999e-05
96	4.6721017e-05	6.526202865e-05
97	4.590658412e-05	6.212963052e-05
98	4.50260792e-05	6.121543819e-05
99	4.134918237e-05	5.591472472e-05
100	3.35593835e-05	4.527605155e-05
101	3.247508129e-05	4.388479475e-05
102	3.18508709e-05	4.346479649e-05
103	3.072349781e-05	4.134850289e-05
104	2.505459601e-05	3.444415687e-05
105	2.13044934e-05	2.93219412e-05
106	1.769708609e-05	2.466050632e-05
107	1.431221312e-05	2.005229204e-05
108	1.390299071e-05	1.955466551e-05
109	1.262829441e-05	1.76330558e-05
110	1.004454251e-05	1.430433736e-05
111	9.994435774e-06	1.423832522e-05
112	9.805862176e-06	1.401774105e-05
113	7.921489774e-06	1.149472043e-05
114	7.141068677e-06	1.058207085e-05
115	5.583801296e-06	8.524154166e-06
116	4.979066492e-06	7.766409489e-06
117	4.857162857e-06	7.671376997e-06
118	3.860313336e-06	6.337799403e-06
119	3.753077852e-06	6.250294338e-06
120	3.020575452e-06	5.212020529e-06
121	2.269703585e-06	4.184466633e-06
122	2.204757877e-06	4.126196947e-06
123	1.722273025e-06	3.427546433e-06
124	1.307088435e-06	2.828082653e-06
125	9.79956255e-07	2.371165756e-06
126	6.792009524e-07	1.908241995e-06
127	5.115358424e-07	1.619604467e-06
128	4.37940499e-07	1.489367925e-06
129	3.050852915e-07	1.266698877e-06
130	2.874861892e-07	1.237232295e-06
131	1.783557772e-07	1.021940131e-06
132	9.893313777e-08	8.415894402e-07
133	5.866637436e-08	7.257452177e-07
134	5.239893237e-08	6.937689643e-07
135	3.453976933e-08	5.924659979e-07
136	1.698618939e-08	4.799505387e-07
137	7.072447207e-09	3.957449836e-07
138	5.529725395e-09	3.737006826e-07
139	2.571928359e-09	3.374493421e-07
140	2.597659085e-09	3.329311078e-07
141	2.262753372e-10	2.71299884e-07
142	0	2.24947837e-07
143	0	2.192406172e-07
144	0	1.795149447e-07
145	0	1.619715176e-07
146	0	1.305885611e-07
147	0	1.19663317e-07
148	0	9.913674705e-08
149	0	8.163273789e-08
150	0	7.963407043e-08
151	0	7.812498888e-08
152	0	7.159259046e-08
153	0	5.789366921e-08
154	0	5.489915312e-08
155	0	4.455746481e-08
156	0	3.638405678e-08
157	0	3.22538178e-08
158	0	3.164870115e-08
159	0	2.980955068e-08
160	0	2.434118622e-08
161	0	2.368586053e-08
162	0	1.961935743e-08
163	0	1.611884471e-08
164	0	1.311996708e-08
165	0	1.069720592e-08
166	0	8.85543576e-09
167	0	7.449100022e-09
168	0	6.18015429e-09
169	0	5.837805708e-09
170	0	5.788212713e-09
171	0	4.927328713e-09
172	0	4.623241624e-09
173	0	3.752138713e-09
174	0	3.707473097e-09
175	0	3.145796218e-09
176	0	2.967815487e-09
177	0	2.546903329e-09
178	0	2.223580518e-09
179	0	1.940134107e-09
180	0	1.641943193e-09
181	0	1.351384511e-09
182	0	1.325244646e-09
183	0	1.208297272e-09
184	0	1.032937677e-09
185	0	8.267795256e-10
186	0	8.163087146e-10
187	0	7.02781504e-10
188	0	5.725377901e-10
189	0	5.196408051e-10
190	0	4.850722514e-10
191	0	4.310902727e-10
192	0	3.719299446e-10
193	0	3.015190502e-10
194	0	2.425414734e-10
195	0	2.002115875e-10
196	0	1.726399857e-10
197	0	1.534788081e-10
198	0	1.413752893e-10
199	0	1.365109674e-10
200	0	1.096180715e-10
201	0	9.084930103e-11
202	0	8.787753692e-11
203	0	7.211550719e-11
204	0	7.009633936e-11
205	0	5.776822596e-11
206	0	5.366363004e-11
207	0	5.273098859e-11
208	0	4.321988457e-11
209	0	4.19668639e-11
210	0	3.466294844e-11
211	0	3.345902797e-11
212	0	2.781311171e-11
213	0	2.695036209e-11
214	0	2.457327966e-11
215	0	2.038675502e-11
216	0	1.782182182e-11
217	0	1.593539793e-11
218	0	1.470596114e-11
219	0	1.294038701e-11
220	0	1.238899372e-11
221	0	1.006204798e-11
222	0	8.220801845e-12
223	0	7.858656194e-12
224	0	6.479529873e-12
225	0	6.268116659e-12
226	0	5.152195231e-12
227	0	4.910252317e-12
228	0	3.975271957e-12
229	0	3.316727328e-12
230	0	3.159940606e-12
231	0	2.773466457e-12
232	0	2.585149752e-12
233	0	2.43414832e-12
234	0	1.955695768e-12
235	0	1.688476017e-12
236	0	1.372248998e-12
237	0	1.120075797e-12
238	0	9.14840188e-13
239	0	7.524699664e-13
240	0	7.094765329e-13
241	0	5.920992088e-13
242	0	4.971566455e-13
243	0	4.569327342e-13
244	0	3.926393076e-13
245	0	3.796532289e-13
246	0	3.110272566e-13
247	0	2.597776374e-13
248	0	2.52727992e-13
249	0	2.439139594e-13
250	0	2.037738162e-13
251	0	1.899182484e-13
252	0	1.544768618e-13
253	0	1.372579741e-13
254	0	1.164212863e-13
255	0	1.075137575e-13
256	0	1.053067635e-13
257	0	8.788728793e-14
258	0	7.180444282e-14
259	0	5.871340325e-14
260	0	5.578187891e-14
261	0	4.712339367e-14
262	0	4.143281547e-14
263	0	4.102462837e-14
264	0	3.669386161e-14
265	0	3.373172981e-14
266	0	3.151052088e-14
267	0	3.077499893e-14
268	0	2.917650712e-14
269	0	2.8797523e-14
270	0	2.825675325e-14
271	0	2.792391769e-14
272	0	2.762939774e-14
273	0	2.734025481e-14
274	0	2.734025481e-14
275	0	2.734025481e-14
276	0	2.691808593e-14
277	0	2.690940127e-14
278	0	2.689202355e-14
279	0	2.688333048e-14
280	0	2.691808593e-14
281	0	2.691808593e-14
282	0	2.678097549e-14
283	0	2.680496594e-14
284	0	2.680496594e-14
285	0	2.680496594e-14
286	0	2.6594865e-14
287	0	2.6594865e-14
288	0	2.6594865e-14
289	0	2.656848556e-14
290	0	2.657728161e-14
291	0	2.657728161e-14
292	0	2.657728161e-14
293	0	2.48219577e-14
294	0	2.470870103e-14
295	0	2.468030565e-14
296	0	2.468030565e-14
297	0	2.468030565e-14
298	0	2.486899575e-14
299	0	2.470870103e-14
300	0	2.469923953e-14
301	0	2.474651085e-14
302	0	2.475595428e-14
303	0	2.448061583e-14
304	0	2.448061583e-14
305	0	2.448061583e-14
306	0	2.448061583e-14
307	0	2.45473596e-14
308	0	2.45473596e-14
309	0	2.45473596e-14
310	0	2.473706381e-14
311	0	2.472761316e-14
312	0	2.447106615e-14
313	0	2.442326171e-14
314	0	2.442326171e-14
315	0	2.442326171e-14
316	0	2.442565416e-14
317	0	2.441368959e-14
318	0	2.441368959e-14
319	0	2.441368959e-14
320	0	2.423110088e-14
321	0	2.423110088e-14
322	0	2.423110088e-14
323	0	2.42407451e-14
324	0	2.426243058e-14
325	0	2.425038549e-14
326	0	2.420214517e-14
327	0	2.431776117e-14
328	0	2.432016399e-14
329	0	2.43081475e-14
330	0	2.432977291e-14
331	0	2.431776117e-14
332	0	2.432977291e-14
333	0	2.434657938e-14
334	0	2.432977291e-14
335	0	2.409810147e-14
336	0	2.418523832e-14
337	0	2.416348357e-14
338	0	2.435617788e-14
339	0	2.406898575e-14
340	0	2.40859742e-14
341	0	2.405927268e-14
342	0	2.425279499e-14
343	0	2.40082146e-14
344	0	2.401794831e-14
345	0	2.401794831e-14
346	0	2.39692402e-14
347	0	2.397898973e-14
348	0	2.399117109e-14
349	0	2.418523832e-14
350	0	2.397898973e-14
351	0	2.39814265e-14
352	0	2.399117109e-14
353	0	2.397898973e-14
354	0	2.401794831e-14
355	0	2.401794831e-14
356	0	2.401794831e-14
357	0	2.401794831e-14
358	0	2.413444673e-14
359	0	2.413444673e-14
360	0	2.414654965e-14
361	0	2.414412955e-14
362	0	2.415622763e-14
363	0	2.434897936e-14
364	0	2.414412955e-14
365	0	2.414412955e-14
