iter	Passed	Remaining
0	2	827
1	2	591
2	8	1067
3	9	933
4	12	1010
5	15	1001
6	53	2992
7	141	6919
8	148	6446
9	161	6284
10	203	7198
11	296	9592
12	397	11837
13	497	13707
14	610	15662
15	722	17349
16	832	18764
17	938	19921
18	967	19393
19	1029	19556
20	1152	20805
21	1283	22050
22	1388	22753
23	1483	23247
24	1588	23833
25	1693	24353
26	1795	24801
27	1892	25136
28	1979	25324
29	2065	25473
30	2066	24602
31	2069	23800
32	2078	23113
33	2079	22387
34	2170	22635
35	2192	22166
36	2285	22426
37	2288	21803
38	2375	21985
39	2424	21824
40	2468	21614
41	2554	21773
42	2555	21216
43	2638	21349
44	2734	21569
45	2736	21061
46	2737	20562
47	2759	20235
48	2840	20347
49	2841	19891
50	2864	19599
51	2865	19177
52	2912	19071
53	2915	18683
54	2919	18316
55	3016	18529
56	3041	18305
57	3047	17969
58	3148	18196
59	3247	18401
60	3353	18637
61	3453	18828
62	3555	19018
63	3650	19166
64	3653	18829
65	3744	18949
66	3789	18833
67	3793	18519
68	3795	18209
69	3817	17997
70	3902	18085
71	3903	17784
72	3987	17860
73	4030	17754
74	4031	17470
75	4033	17194
76	4130	17328
77	4176	17240
78	4263	17324
79	4307	17231
80	4396	17312
81	4397	17054
82	4409	16841
83	4451	16745
84	4540	16828
85	4543	16587
86	4544	16351
87	4624	16397
88	4723	16503
89	4808	16563
90	4854	16482
91	4945	16555
92	5028	16600
93	5074	16518
94	5156	16555
95	5246	16614
96	5253	16408
97	5253	16190
98	5258	15986
99	5346	16040
100	5435	16090
101	5442	15900
102	5444	15698
103	5445	15499
104	5470	15368
105	5568	15445
106	5616	15380
107	5712	15444
108	5725	15284
109	5729	15103
110	5822	15160
111	5824	14976
112	5830	14809
113	5917	14844
114	5938	14716
115	6029	14763
116	6115	14792
117	6120	14626
118	6202	14646
119	6205	14478
120	6216	14334
121	6308	14374
122	6310	14212
123	6392	14228
124	6484	14265
125	6568	14283
126	6663	14324
127	6677	14188
128	6764	14211
129	6848	14223
130	6851	14069
131	6940	14090
132	7021	14095
133	7113	14121
134	7115	13967
135	7155	13890
136	7254	13926
137	7342	13940
138	7423	13939
139	7427	13794
140	7429	13646
141	7520	13664
142	7603	13664
143	7605	13520
144	7724	13584
145	7827	13617
146	7915	13623
147	8002	13626
148	8093	13633
149	8176	13627
150	8197	13518
151	8241	13446
152	8266	13345
153	8361	13357
154	8363	13219
155	8453	13221
156	8534	13209
157	8626	13212
158	8628	13078
159	8631	12947
160	8720	12944
161	8726	12820
162	8768	12749
163	8860	12750
164	8950	12747
165	9048	12755
166	9133	12742
167	9221	12734
168	9315	12732
169	9402	12720
170	9403	12592
171	9424	12492
172	9514	12484
173	9606	12477
174	9608	12354
175	9705	12353
176	9717	12242
177	9728	12132
178	9815	12118
179	9908	12110
180	9919	12002
181	10004	11983
182	10006	11865
183	10100	11856
184	10182	11834
185	10269	11815
186	10271	11699
187	10292	11606
188	10373	11580
189	10396	11490
190	10487	11476
191	10572	11453
192	10669	11443
193	10756	11421
194	10851	11407
195	10938	11385
196	11020	11356
197	11045	11268
198	11047	11158
199	11068	11068
200	11154	11043
201	11254	11031
202	11255	10922
203	11346	10901
204	11348	10794
205	11434	10768
206	11441	10667
207	11442	10562
208	11530	10537
209	11533	10435
210	11621	10409
211	11629	10312
212	11678	10252
213	11702	10170
214	11794	10148
215	11836	10083
216	11879	10018
217	11968	9991
218	12069	9975
219	12075	9879
220	12076	9781
221	12167	9755
222	12253	9725
223	12258	9631
224	12342	9599
225	12344	9504
226	12430	9473
227	12454	9395
228	12541	9364
229	12631	9336
230	12638	9246
231	12665	9171
232	12751	9139
233	12849	9115
234	12931	9079
235	12939	8991
236	13024	8957
237	13112	8925
238	13200	8892
239	13293	8862
240	13382	8828
241	13403	8751
242	13494	8718
243	13580	8682
244	13602	8605
245	13610	8520
246	13698	8485
247	13722	8410
248	13723	8322
249	13817	8290
250	13902	8253
251	13910	8169
252	13994	8131
253	14001	8047
254	14088	8011
255	14180	7976
256	14182	7891
257	14204	7817
258	14289	7779
259	14374	7740
260	14397	7667
261	14488	7631
262	14572	7591
263	14575	7508
264	14668	7472
265	14752	7431
266	14759	7352
267	14853	7315
268	14936	7273
269	15074	7257
270	15177	7224
271	15279	7190
272	15375	7152
273	15427	7094
274	15528	7058
275	15624	7019
276	15716	6978
277	15813	6939
278	15920	6904
279	16013	6862
280	16108	6821
281	16214	6784
282	16311	6743
283	16404	6700
284	16495	6656
285	16586	6611
286	16677	6566
287	16762	6518
288	16846	6470
289	16938	6425
290	17024	6376
291	17106	6327
292	17117	6251
293	17121	6173
294	17225	6131
295	17338	6092
296	17362	6021
297	17459	5976
298	17461	5898
299	17468	5822
300	17563	5776
301	17568	5701
302	17670	5656
303	17692	5587
304	17694	5511
305	17695	5435
306	17696	5360
307	17709	5289
308	17711	5215
309	17712	5142
310	17713	5069
311	17795	5019
312	17801	4948
313	17887	4899
314	17976	4850
315	17978	4779
316	18068	4730
317	18070	4659
318	18071	4588
319	18178	4544
320	18200	4479
321	18201	4409
322	18203	4339
323	18294	4291
324	18305	4224
325	18307	4155
326	18348	4096
327	18430	4045
328	18513	3995
329	18521	3928
330	18621	3881
331	18623	3814
332	18624	3747
333	18629	3681
334	18630	3614
335	18633	3549
336	18637	3484
337	18639	3419
338	18640	3354
339	18741	3307
340	18745	3243
341	18828	3193
342	18829	3129
343	18832	3065
344	18925	3017
345	19014	2967
346	19103	2917
347	19183	2866
348	19294	2819
349	19298	2756
350	19300	2694
351	19310	2633
352	19332	2574
353	19417	2523
354	19420	2461
355	19512	2411
356	19621	2363
357	19712	2312
358	19733	2253
359	19816	2201
360	19899	2149
361	19989	2098
362	20114	2050
363	20117	1989
364	20233	1940
365	20319	1887
366	20407	1835
367	20506	1783
368	20603	1730
369	20604	1670
370	20692	1617
371	20795	1565
372	20887	1511
373	20888	1452
374	20980	1398
375	21081	1345
376	21180	1292
377	21182	1232
378	21183	1173
379	21282	1120
380	21366	1065
381	21368	1006
382	21451	952
383	21534	897
384	21630	842
385	21711	787
386	21797	732
387	21890	677
388	21979	621
389	22063	565
390	22146	509
391	22187	452
392	22202	395
393	22294	339
394	22298	282
395	22382	226
396	22468	169
397	22561	113
398	22648	56
399	22734	0
